"Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","CO2","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0","gslenl3","gstdl3","annualprec"
2010,0.447806507349014,0.82253623008728,0,0.82253623008728,612.406494140625,0.557666063308716,388.76,"Only C3 grass allowed","2-Day Rotation",5.32688331604004,"FF",42.73796,-89.75369,10,211,17.3221797943115,973.889587402344
2011,0.321697175502777,0.642844498157501,0,0.642844498157501,574.942687988281,0.567451179027557,390.63,"Only C3 grass allowed","2-Day Rotation",5.40540266036987,"FF",42.73796,-89.75369,10,193,17.1500358581543,868.69482421875
2012,0.2295141518116,0.33531853556633,0,0.33531853556633,468.587127685547,0.479495078325272,392.65,"Only C3 grass allowed","2-Day Rotation",5.4713978767395,"FF",42.73796,-89.75369,10,156,20.9889049530029,641.933288574219
2013,0.331324875354767,0.588977217674255,0,0.588977217674255,512.5322265625,0.46985587477684,395.4,"Only C3 grass allowed","2-Day Rotation",5.49649524688721,"FF",42.73796,-89.75369,10,149,19.8676662445068,1017.13269042969
2014,0.413214832544327,0.799700796604156,0,0.799700796604156,558.319213867188,0.462696999311447,397.34,"Only C3 grass allowed","2-Day Rotation",5.48687028884888,"FF",42.73796,-89.75369,10,183,16.7865715026855,938.198608398438
2015,0.411021113395691,0.766863286495209,0,0.766863286495209,550.899475097656,0.49717915058136,399.65,"Only C3 grass allowed","2-Day Rotation",5.49982786178589,"FF",42.73796,-89.75369,10,181,17.599609375,1079.763671875
2016,0.498968124389648,0.969939708709717,0,0.969939708709717,644.022094726562,0.509972274303436,403.06,"Only C3 grass allowed","2-Day Rotation",5.54137468338013,"FF",42.73796,-89.75369,10,233,16.2465267181396,982.762756347656
2017,0.48319935798645,0.933835029602051,0,0.933835029602051,610.642272949219,0.546268343925476,405.22,"Only C3 grass allowed","2-Day Rotation",5.58956861495972,"FF",42.73796,-89.75369,10,226,15.4909553527832,1080.20056152344
2018,0.467341959476471,0.890177249908447,0,0.890177249908447,578.275329589844,0.570306420326233,407.61,"Only C3 grass allowed","2-Day Rotation",5.66577100753784,"FF",42.73796,-89.75369,10,195,17.4839668273926,1415.05578613281
2019,0.461138993501663,0.912592351436615,0,0.912592351436615,552.830444335938,0.5838662981987,410.07,"Only C3 grass allowed","2-Day Rotation",5.74982595443726,"FF",42.73796,-89.75369,10,198,16.6287803649902,1241.82824707031
2020,0.436907261610031,0.862072765827179,0,0.862072765827179,567.616760253906,0.533335089683533,412.44,"Only C3 grass allowed","2-Day Rotation",5.83512926101685,"FF",42.73796,-89.75369,10,195,16.632194519043,1030.04064941406
2021,0.336555391550064,0.65000307559967,0,0.65000307559967,537.310119628906,0.490171432495117,414.71,"Only C3 grass allowed","2-Day Rotation",5.91922521591187,"FF",42.73796,-89.75369,10,187,18.4704818725586,663.610717773438
