"Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","CO2","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0","gslenl3","gstdl3","annualprec"
1962,0.442770957946777,0.776330411434174,0,0.776330411434174,562.315124511719,0.484063357114792,317.367,"Only C3 grass allowed","2-Day Rotation",2.52511477470398,"FF",42.73796,-89.75369,10,200,16.4186553955078,917.046203613281
1963,0.373960584402084,0.650477588176727,0,0.650477588176727,554.400756835938,0.506974756717682,318.097,"Only C3 grass allowed","2-Day Rotation",2.56293320655823,"FF",42.73796,-89.75369,10,201,16.6634693145752,835.4169921875
1964,0.410021156072617,0.690045714378357,0,0.690045714378357,570.030334472656,0.552534401416779,318.861,"Only C3 grass allowed","2-Day Rotation",2.6594123840332,"FF",42.73796,-89.75369,10,187,17.0821514129639,976.757507324219
1965,0.347245544195175,0.598235845565796,0,0.598235845565796,556.602111816406,0.51771354675293,319.663,"Only C3 grass allowed","2-Day Rotation",2.76106548309326,"FF",42.73796,-89.75369,10,200,17.4421043395996,1017.13269042969
1966,0.43761420249939,0.749944031238556,0,0.749944031238556,549.6728515625,0.567027032375336,320.505,"Only C3 grass allowed","2-Day Rotation",2.86265468597412,"FF",42.73796,-89.75369,10,199,16.2221164703369,1009.13427734375
1967,0.394657582044601,0.654731452465057,0,0.654731452465057,564.623657226562,0.552905201911926,321.388,"Only C3 grass allowed","2-Day Rotation",2.95913791656494,"FF",42.73796,-89.75369,10,180,17.7473049163818,914.558227539062
1968,0.402470171451569,0.696673631668091,0,0.696673631668091,560.979248046875,0.553902924060822,322.314,"Only C3 grass allowed","2-Day Rotation",3.0478892326355,"FF",42.73796,-89.75369,10,187,17.0821514129639,976.757507324219
1969,0.368332028388977,0.636636793613434,0,0.636636793613434,539.405090332031,0.539438486099243,323.284,"Only C3 grass allowed","2-Day Rotation",3.12691378593445,"FF",42.73796,-89.75369,10,193,17.3923988342285,942.481323242188
1970,0.285425543785095,0.496337324380875,0,0.496337324380875,515.806213378906,0.483631134033203,324.298,"Only C3 grass allowed","2-Day Rotation",3.20831251144409,"FF",42.73796,-89.75369,10,172,18.4873065948486,697.321472167969
1971,0.430879890918732,0.748616695404053,0,0.748616695404053,562.258056640625,0.515116393566132,325.355,"Only C3 grass allowed","2-Day Rotation",3.28165125846863,"FF",42.73796,-89.75369,10,194,15.7847232818604,1084.51379394531
1972,0.365642070770264,0.603066086769104,0,0.603066086769104,559.563842773438,0.601451277732849,326.456,"Only C3 grass allowed","2-Day Rotation",3.34572339057922,"FF",42.73796,-89.75369,10,162,18.2310390472412,874.074462890625
1973,0.380496442317963,0.702133595943451,0,0.702133595943451,546.749877929688,0.495013117790222,327.6,"Only C3 grass allowed","2-Day Rotation",3.40791773796082,"FF",42.73796,-89.75369,10,184,16.9895401000977,874.038696289062
1974,0.41243377327919,0.730708181858063,0,0.730708181858063,579.17578125,0.519910216331482,328.787,"Only C3 grass allowed","2-Day Rotation",3.47454333305359,"FF",42.73796,-89.75369,10,194,16.8093643188477,879.594177246094
1975,0.269905984401703,0.42010423541069,0,0.42010423541069,482.188415527344,0.459516733884811,330.015,"Only C3 grass allowed","2-Day Rotation",3.54767894744873,"FF",42.73796,-89.75369,10,140,19.3313789367676,793.504577636719
1976,0.204778447747231,0.314639180898666,0,0.314639180898666,468.966613769531,0.472987055778503,331.286,"Only C3 grass allowed","2-Day Rotation",3.61870741844177,"FF",42.73796,-89.75369,10,190,19.2015514373779,641.933288574219
1977,0.422728210687637,0.740692734718323,0,0.740692734718323,560.428405761719,0.520739495754242,332.599,"Only C3 grass allowed","2-Day Rotation",3.64239358901978,"FF",42.73796,-89.75369,10,188,16.7488632202148,849.126953125
1978,0.402554512023926,0.768067359924316,0,0.768067359924316,541.280212402344,0.59069150686264,333.951,"Only C3 grass allowed","2-Day Rotation",3.65411853790283,"FF",42.73796,-89.75369,10,202,16.0431213378906,1009.13427734375
1979,0.400578826665878,0.711873054504395,0,0.711873054504395,551.337768554688,0.505639612674713,335.338,"Only C3 grass allowed","2-Day Rotation",3.70661497116089,"FF",42.73796,-89.75369,10,185,16.8053131103516,849.126953125
1980,0.361918389797211,0.621654987335205,0,0.621654987335205,540.287109375,0.483570635318756,338.91,"Only C3 grass allowed","2-Day Rotation",3.79282283782959,"FF",42.73796,-89.75369,10,162,18.2310390472412,874.074462890625
1981,0.396114379167557,0.746683418750763,0,0.746683418750763,554.487182617188,0.519581615924835,340.11,"Only C3 grass allowed","2-Day Rotation",3.87654495239258,"FF",42.73796,-89.75369,10,191,16.3792495727539,925.453430175781
1982,0.433442443609238,0.791855156421661,0,0.791855156421661,558.8955078125,0.573539912700653,340.86,"Only C3 grass allowed","2-Day Rotation",3.95137119293213,"FF",42.73796,-89.75369,10,202,16.1669445037842,974.974670410156
1983,0.395841479301453,0.690803527832031,0,0.690803527832031,560.610046386719,0.513837158679962,342.53,"Only C3 grass allowed","2-Day Rotation",4.03151750564575,"FF",42.73796,-89.75369,10,203,16.5464859008789,835.4169921875
1984,0.366457760334015,0.626311182975769,0,0.626311182975769,540.396850585938,0.585589706897736,344.07,"Only C3 grass allowed","2-Day Rotation",4.11620092391968,"FF",42.73796,-89.75369,10,171,17.6602230072021,980.436218261719
1985,0.421940416097641,0.756171643733978,0,0.756171643733978,579.961547851562,0.541900277137756,345.54,"Only C3 grass allowed","2-Day Rotation",4.17916774749756,"FF",42.73796,-89.75369,10,195,16.7104549407959,971.444458007812
1986,0.44995129108429,0.831159293651581,0,0.831159293651581,578.372192382812,0.592357337474823,346.97,"Only C3 grass allowed","2-Day Rotation",4.22910165786743,"FF",42.73796,-89.75369,10,210,16.1022548675537,917.046203613281
1987,0.402810662984848,0.695391416549683,0,0.695391416549683,557.397583007812,0.573998987674713,348.68,"Only C3 grass allowed","2-Day Rotation",4.28529357910156,"FF",42.73796,-89.75369,10,180,17.7473049163818,914.558227539062
1988,0.185352101922035,0.294456243515015,0,0.294456243515015,405.340942382812,0.514486491680145,351.16,"Only C3 grass allowed","2-Day Rotation",4.35258388519287,"FF",42.73796,-89.75369,10,158,19.7537536621094,592.144226074219
1989,0.352208286523819,0.54489278793335,0,0.54489278793335,497.208374023438,0.43785172700882,352.78,"Only C3 grass allowed","2-Day Rotation",4.39502191543579,"FF",42.73796,-89.75369,10,159,17.5290412902832,628.609619140625
1990,0.424324989318848,0.812027752399445,0,0.812027752399445,535.737670898438,0.57375568151474,354.05,"Only C3 grass allowed","2-Day Rotation",4.39024353027344,"FF",42.73796,-89.75369,10,198,16.2773113250732,1009.13427734375
1991,0.375154733657837,0.652795016765594,0,0.652795016765594,522.398193359375,0.521297454833984,355.39,"Only C3 grass allowed","2-Day Rotation",4.39394950866699,"FF",42.73796,-89.75369,10,183,17.7542266845703,942.481323242188
1992,0.407564342021942,0.735795497894287,0,0.735795497894287,487.477172851562,0.534929633140564,356.09,"Only C3 grass allowed","2-Day Rotation",4.44207525253296,"FF",42.73796,-89.75369,10,193,15.1500253677368,839.852783203125
1993,0.421455085277557,0.815861284732819,0,0.815861284732819,514.353088378906,0.652756810188293,356.83,"Only C3 grass allowed","2-Day Rotation",4.51171684265137,"FF",42.73796,-89.75369,10,198,15.2106962203979,1178.84375
1994,0.40029388666153,0.744293749332428,0,0.744293749332428,545.343627929688,0.495857745409012,358.33,"Only C3 grass allowed","2-Day Rotation",4.58911800384521,"FF",42.73796,-89.75369,10,184,16.9895401000977,874.038696289062
