"","Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0"
"90",1739,0.0809213519096375,0.110665202140808,0,0.110665202140808,509.768951416016,0.571655213832855,"Spinup","Ungrazed",2.30569505691528,"FF",42.73796,-89.75369,10
"91",1740,0.0679919794201851,0.0943969935178757,0,0.0943969935178757,375.030517578125,0.539771497249603,"Spinup","Ungrazed",2.33524036407471,"FF",42.73796,-89.75369,10
"92",1741,0.0891611874103546,0.123818524181843,0,0.123818524181843,480.011413574219,0.5382199883461,"Spinup","Ungrazed",2.29632496833801,"FF",42.73796,-89.75369,10
"93",1742,0.0951353460550308,0.132118180394173,0,0.132118180394173,477.217041015625,0.600902915000916,"Spinup","Ungrazed",2.25647950172424,"FF",42.73796,-89.75369,10
"94",1743,0.0815005078911781,0.112136207520962,0,0.112136207520962,525.35498046875,0.466455161571503,"Spinup","Ungrazed",2.31639122962952,"FF",42.73796,-89.75369,10
"95",1744,0.072543777525425,0.0989871695637703,0,0.0989871695637703,508.689208984375,0.488829284906387,"Spinup","Ungrazed",2.3539445400238,"FF",42.73796,-89.75369,10
"96",1745,0.0924097076058388,0.128018334507942,0,0.128018334507942,496.808837890625,0.522740662097931,"Spinup","Ungrazed",2.32535815238953,"FF",42.73796,-89.75369,10
"97",1746,0.0868760570883751,0.119622774422169,0,0.119622774422169,526.470336914062,0.544846892356873,"Spinup","Ungrazed",2.31512022018433,"FF",42.73796,-89.75369,10
"98",1747,0.0894167050719261,0.123315967619419,0,0.123315967619419,507.986053466797,0.524807989597321,"Spinup","Ungrazed",2.33062505722046,"FF",42.73796,-89.75369,10
"99",1748,0.0866957381367683,0.118980437517166,0,0.118980437517166,513.567443847656,0.492386102676392,"Spinup","Ungrazed",2.34233403205872,"FF",42.73796,-89.75369,10
"100",1749,0.0810874775052071,0.111016593873501,0,0.111016593873501,511.547882080078,0.583367109298706,"Spinup","Ungrazed",2.33967733383179,"FF",42.73796,-89.75369,10
"101",1750,0.0953234657645226,0.132445812225342,0,0.132445812225342,476.683685302734,0.603301703929901,"Spinup","Ungrazed",2.34461665153503,"FF",42.73796,-89.75369,10
"102",1751,0.090127982199192,0.12507064640522,0,0.12507064640522,473.179077148438,0.542671740055084,"Spinup","Ungrazed",2.34527659416199,"FF",42.73796,-89.75369,10
"103",1752,0.0659364834427834,0.091073751449585,0,0.091073751449585,453.156677246094,0.541894316673279,"Spinup","Ungrazed",2.34852433204651,"FF",42.73796,-89.75369,10
"104",1753,0.0702264606952667,0.0963924154639244,0,0.0963924154639244,466.310516357422,0.480616956949234,"Spinup","Ungrazed",2.34940361976624,"FF",42.73796,-89.75369,10
"105",1754,0.0809474140405655,0.111266367137432,0,0.111266367137432,545.596618652344,0.52416580915451,"Spinup","Ungrazed",2.34301424026489,"FF",42.73796,-89.75369,10
"106",1755,0.0856766030192375,0.11782743036747,0,0.11782743036747,502.724487304688,0.50517612695694,"Spinup","Ungrazed",2.33390092849731,"FF",42.73796,-89.75369,10
"107",1756,0.0651680156588554,0.0902296453714371,0,0.0902296453714371,454.470367431641,0.503508329391479,"Spinup","Ungrazed",2.32970023155212,"FF",42.73796,-89.75369,10
"108",1757,0.0903921276330948,0.124803207814693,0,0.124803207814693,518.459167480469,0.529322683811188,"Spinup","Ungrazed",2.32840967178345,"FF",42.73796,-89.75369,10
"109",1758,0.081790067255497,0.111998654901981,0,0.111998654901981,495.593872070312,0.62205958366394,"Spinup","Ungrazed",2.32462596893311,"FF",42.73796,-89.75369,10
"110",1759,0.0808930844068527,0.110822834074497,0,0.110822834074497,514.272216796875,0.589754819869995,"Spinup","Ungrazed",2.32174968719482,"FF",42.73796,-89.75369,10
"111",1760,0.0957771837711334,0.132659390568733,0,0.132659390568733,540.756164550781,0.604797601699829,"Spinup","Ungrazed",2.31866025924683,"FF",42.73796,-89.75369,10
"112",1761,0.081506721675396,0.111898683011532,0,0.111898683011532,467.111297607422,0.50267368555069,"Spinup","Ungrazed",2.31820154190063,"FF",42.73796,-89.75369,10
"113",1762,0.0789606869220734,0.108947530388832,0,0.108947530388832,473.181274414062,0.472478926181793,"Spinup","Ungrazed",2.32183909416199,"FF",42.73796,-89.75369,10
"114",1763,0.0815394744277,0.112268067896366,0,0.112268067896366,477.629028320312,0.49079042673111,"Spinup","Ungrazed",2.32347631454468,"FF",42.73796,-89.75369,10
"115",1764,0.0658498108386993,0.0912017896771431,0,0.0912017896771431,454.453735351562,0.500583171844482,"Spinup","Ungrazed",2.32132792472839,"FF",42.73796,-89.75369,10
"116",1765,0.0855945125222206,0.117863550782204,0,0.117863550782204,504.990753173828,0.510826349258423,"Spinup","Ungrazed",2.31842637062073,"FF",42.73796,-89.75369,10
"117",1766,0.0910032838582993,0.12570483982563,0,0.12570483982563,521.934875488281,0.605676651000977,"Spinup","Ungrazed",2.31108474731445,"FF",42.73796,-89.75369,10
"118",1767,0.084754578769207,0.116714663803577,0,0.116714663803577,478.816772460938,0.506783485412598,"Spinup","Ungrazed",2.30957555770874,"FF",42.73796,-89.75369,10
"119",1768,0.100373141467571,0.139316394925117,0,0.139316394925117,563.055603027344,0.530232608318329,"Spinup","Ungrazed",2.3116819858551,"FF",42.73796,-89.75369,10
"120",1769,0.0958059206604958,0.132771089673042,0,0.132771089673042,503.028930664062,0.58046817779541,"Spinup","Ungrazed",2.31161880493164,"FF",42.73796,-89.75369,10
"121",1770,0.086108386516571,0.118273742496967,0,0.118273742496967,499.681488037109,0.506701946258545,"Spinup","Ungrazed",2.32049036026001,"FF",42.73796,-89.75369,10
"122",1771,0.0902099087834358,0.125233247876167,0,0.125233247876167,472.1142578125,0.542807459831238,"Spinup","Ungrazed",2.3280234336853,"FF",42.73796,-89.75369,10
"123",1772,0.077797956764698,0.106263108551502,0,0.106263108551502,492.738891601562,0.59417188167572,"Spinup","Ungrazed",2.33095622062683,"FF",42.73796,-89.75369,10
"124",1773,0.081962063908577,0.112742155790329,0,0.112742155790329,466.964050292969,0.500877261161804,"Spinup","Ungrazed",2.33120107650757,"FF",42.73796,-89.75369,10
"125",1774,0.0843961760401726,0.116554215550423,0,0.116554215550423,527.213073730469,0.522734582424164,"Spinup","Ungrazed",2.3268826007843,"FF",42.73796,-89.75369,10
"126",1775,0.0928462296724319,0.128478199243546,0,0.128478199243546,555.287719726562,0.488956093788147,"Spinup","Ungrazed",2.31917119026184,"FF",42.73796,-89.75369,10
"127",1776,0.090501956641674,0.125126615166664,0,0.125126615166664,524.947692871094,0.5057133436203,"Spinup","Ungrazed",2.31685853004456,"FF",42.73796,-89.75369,10
"128",1777,0.0917293131351471,0.126544505357742,0,0.126544505357742,540.794250488281,0.594204485416412,"Spinup","Ungrazed",2.32086086273193,"FF",42.73796,-89.75369,10
"129",1778,0.072008952498436,0.09812942892313,0,0.09812942892313,442.911224365234,0.449323296546936,"Spinup","Ungrazed",2.32363200187683,"FF",42.73796,-89.75369,10
"130",1779,0.081197664141655,0.111531361937523,0,0.111531361937523,547.664794921875,0.518786609172821,"Spinup","Ungrazed",2.32600998878479,"FF",42.73796,-89.75369,10
"131",1780,0.066639244556427,0.0923680886626244,0,0.0923680886626244,451.5888671875,0.509708166122437,"Spinup","Ungrazed",2.32083201408386,"FF",42.73796,-89.75369,10
"132",1781,0.0896461680531502,0.124535597860813,0,0.124535597860813,480.792755126953,0.543495953083038,"Spinup","Ungrazed",2.31691646575928,"FF",42.73796,-89.75369,10
"133",1782,0.0996377542614937,0.138699904084206,0,0.138699904084206,494.826812744141,0.616823613643646,"Spinup","Ungrazed",2.3117356300354,"FF",42.73796,-89.75369,10
"134",1783,0.0919826775789261,0.127200245857239,0,0.127200245857239,548.681274414062,0.509642899036407,"Spinup","Ungrazed",2.31478428840637,"FF",42.73796,-89.75369,10
"135",1784,0.0824761986732483,0.112987414002419,0,0.112987414002419,438.150848388672,0.555595695972443,"Spinup","Ungrazed",2.32262468338013,"FF",42.73796,-89.75369,10
"136",1785,0.0816674157977104,0.111886352300644,0,0.111886352300644,513.059265136719,0.561627984046936,"Spinup","Ungrazed",2.32734203338623,"FF",42.73796,-89.75369,10
"137",1786,0.0709840953350067,0.0970907509326935,0,0.0970907509326935,471.282348632812,0.521123766899109,"Spinup","Ungrazed",2.32622218132019,"FF",42.73796,-89.75369,10
"138",1787,0.0942788124084473,0.1305251121521,0,0.1305251121521,511.756103515625,0.506683349609375,"Spinup","Ungrazed",2.32313919067383,"FF",42.73796,-89.75369,10
"139",1788,0.0924148410558701,0.127570301294327,0,0.127570301294327,536.400146484375,0.522266626358032,"Spinup","Ungrazed",2.32021999359131,"FF",42.73796,-89.75369,10
"140",1789,0.0926465019583702,0.12802267074585,0,0.12802267074585,490.985321044922,0.579274952411652,"Spinup","Ungrazed",2.32473826408386,"FF",42.73796,-89.75369,10
"141",1790,0.0818843469023705,0.112025834619999,0,0.112025834619999,510.591888427734,0.562327146530151,"Spinup","Ungrazed",2.32839107513428,"FF",42.73796,-89.75369,10
"142",1791,0.0895032286643982,0.123864784836769,0,0.123864784836769,466.898986816406,0.580907046794891,"Spinup","Ungrazed",2.32854390144348,"FF",42.73796,-89.75369,10
"143",1792,0.0916944518685341,0.126931771636009,0,0.126931771636009,518.969421386719,0.504957258701324,"Spinup","Ungrazed",2.32795882225037,"FF",42.73796,-89.75369,10
"144",1793,0.0828560516238213,0.113791413605213,0,0.113791413605213,478.926025390625,0.579659283161163,"Spinup","Ungrazed",2.33073782920837,"FF",42.73796,-89.75369,10
"145",1794,0.0819987878203392,0.11245384812355,0,0.11245384812355,549.354858398438,0.518068909645081,"Spinup","Ungrazed",2.33203935623169,"FF",42.73796,-89.75369,10
"146",1795,0.0723711922764778,0.099161684513092,0,0.099161684513092,462.254730224609,0.489199221134186,"Spinup","Ungrazed",2.33183717727661,"FF",42.73796,-89.75369,10
"147",1796,0.0673734024167061,0.093558743596077,0,0.093558743596077,450.928802490234,0.505786120891571,"Spinup","Ungrazed",2.33054804801941,"FF",42.73796,-89.75369,10
"148",1797,0.0871073082089424,0.120268367230892,0,0.120268367230892,479.339782714844,0.519271910190582,"Spinup","Ungrazed",2.32499694824219,"FF",42.73796,-89.75369,10
"149",1798,0.0831531211733818,0.1143978536129,0,0.1143978536129,467.404113769531,0.503203332424164,"Spinup","Ungrazed",2.31795001029968,"FF",42.73796,-89.75369,10
"150",1799,0.100519008934498,0.139390915632248,0,0.139390915632248,567.241455078125,0.588531136512756,"Spinup","Ungrazed",2.3160228729248,"FF",42.73796,-89.75369,10
"151",1800,0.0823310688138008,0.112517319619656,0,0.112517319619656,510.055358886719,0.571272313594818,"Spinup","Ungrazed",2.31514072418213,"FF",42.73796,-89.75369,10
"152",1801,0.0940243676304817,0.129924029111862,0,0.129924029111862,505.075439453125,0.613870143890381,"Spinup","Ungrazed",2.31727480888367,"FF",42.73796,-89.75369,10
"153",1802,0.0831872597336769,0.114077344536781,0,0.114077344536781,481.429565429688,0.580844938755035,"Spinup","Ungrazed",2.31842589378357,"FF",42.73796,-89.75369,10
